,logFC,logCPM,F,PValue,FDR
RPS14,-0.29357966027905996,12.962042160356791,104.27164621788374,1.609369652915979e-20,3.774776520914429e-18
RPS3A,-0.29409333289057726,12.432949807840975,49.04745746038244,2.567445870821127e-11,1.3686237022752166e-09
FKBP5,-0.29453485274664337,4.959996793855949,4.296998395573672,0.039249531836166876,0.151788585196586
DGKA,-0.29507081484223113,5.046338583764882,7.6293329858030425,0.006187854641374319,0.0389436675654098
CD59,-0.29557971134301575,4.58011218142945,5.434567789751382,0.020549882199961487,0.0942321577712799
RPL34,-0.2962430271322456,13.066602775704144,59.30164103346644,3.6742497772712316e-13,2.693110266434273e-11
RPS8,-0.29656372521260915,12.140071723109788,107.76125376647487,4.769646493369173e-21,1.243022872244155e-18
ZFAS1,-0.298105869220012,8.517650087542709,42.590709791298124,4.0633353998812617e-10,1.8153434629374285e-08
RPL32,-0.29813791860336014,12.877283768970637,134.75062853065592,5.885956071914281e-25,2.761101993334989e-22
NMT2,-0.29894233267915465,5.245932858429518,9.134821620524392,0.002783389532234869,0.020792554717986803
ILF3-AS1,-0.29897193397091687,6.700941291045378,14.07046990836434,0.00022162071475576004,0.002566969809677211
FAM102A,-0.2993098435660219,4.49219434021053,4.562888586541017,0.03359213947293929,0.13456936487408902
MARCH6,-0.2993667058848046,5.609336998277025,8.35083444710635,0.0042149903210818695,0.028822914863258088
MDFIC,-0.3010931931567112,4.737505394342318,5.152391948339347,0.024090785921632385,0.10523722780137537
SLC25A26,-0.3015827986679352,5.452752667449142,12.678512613692407,0.0004473178993832103,0.004673425982197415
UFM1,-0.3026290595329993,5.889426708225262,13.813366841856057,0.0002523216520015727,0.0028659585218871126
LINC00936,-0.3034958394805274,5.6816919485931265,10.016902166847533,0.0017557479824677723,0.01444949786974793
FLI1,-0.3037121502556929,5.420888991302281,11.626499727646507,0.0007646494671556489,0.007217244769471124
LYRM7,-0.3038814397352798,4.388626766991902,6.010748751783408,0.014891922255960623,0.07503545360119364
RP11-138A9.1,-0.30429468028557777,5.451609093769188,6.1744412755762506,0.0136556561961654,0.07117631468467989
ZFP14,-0.3043777435390591,4.738767833502231,7.01712417764228,0.008602839686633853,0.05043360802904056
EIF4B,-0.30438933226624504,7.48734977043864,20.67609268513712,8.688029875666227e-06,0.00015496406139448772
AP3M2,-0.3044677481134601,4.565806622044754,6.102729869376182,0.014170589329371274,0.07312194805972738
CYHR1,-0.30525818099097113,4.51856377687719,6.302390995650845,0.012692954990555883,0.06720389600530208
NCR3,-0.30526853946033705,6.402208984226778,6.906581604012531,0.009151934234644766,0.053265165626201726
CCNC,-0.3053192803104097,5.412094958036498,12.78146868271698,0.00042451738166618223,0.0044952845087947195
MPRIP,-0.3053791774709711,4.44779455819396,6.034665399275739,0.01470086833412841,0.074634693817871
CUL3,-0.3065707526442514,4.8479542034512955,6.217644306001246,0.013320009659377005,0.06981470984596372
GCHFR,-0.3069611758722246,5.514013608354803,12.042879311355064,0.0006181021153461457,0.006123672171446723
ARHGAP15,-0.3071536206594736,6.841303712016577,34.04464812959939,1.76554125287883e-08,5.888506729257534e-07
TOB1,-0.30782654693995243,6.120359583514231,5.887710798437471,0.01599880938941379,0.07817751546431259
NME4,-0.30787829517570936,4.775398184473894,6.335716366173738,0.012480047132749401,0.0663763051017318
MT-ND1,-0.3083088750622061,11.171776490887698,28.362541880768713,2.337268475038168e-07,6.125210288493881e-06
FCGRT,-0.3086380782395311,4.942539710018955,7.4440933939737635,0.006834817790367107,0.042176755823374844
CTDSP2,-0.30914714353028305,4.962053828165984,9.614347581799107,0.0021619001537727476,0.017071584352603027
MAP7D3,-0.3100592457875667,4.48676228602633,5.636981357110311,0.018340058060617573,0.08734336280442338
RSL1D1,-0.31121412181782115,6.91063627335876,18.93376818763502,2.0152016938189095e-05,0.000321541195432126
ZNF101,-0.31202393896061276,5.146976548628685,9.365752731957288,0.002463788631957139,0.018823505655555274
